UniprotAccession,abundance
J3QQ02,17.24471092224121
Q8BFY9,34.31509780883789
Q9R257,196.41932678222656
O89020,16.589054107666016
Q9JLI0,30.565807342529297
Q6ZWY8,10.359164237976074
P49182,8.966033935546875
P43024,100.25692749023438
Q99KY4,6.836599826812744
P07724,5112.58447265625
P01132,1.7748303413391113
O08807,260.2329406738281
Q00897,151.83319091796875
Q9R190,15.853885650634766
P62245,537.375244140625
Q8R1A4,4.1129326820373535
Q8BHA3,15.680437088012695
Q99NB9,73.93736267089844
O08997,87.41778564453125
P62852,458.3946228027344
Q9Z1K5,5.863973140716553
Q9CQH7,129.9468994140625
Q9QZ85,32.73175048828125
O08599,14.524845123291016
Q9JLB9,2.7711915969848633
Q9DAA6,2.754530906677246
Q570Y9,5.518694877624512
A0A087WPY5,6.667187690734863
Q5I0W6,23.642892837524414
P51655,3.1542134284973145
Q9R269,1.726276159286499
Q9DCJ9,6.427829742431641
P97390,8.012064933776855
Q64462,40.97836685180664
Q9Z2P8,5.360476970672607
A7VMS2,4.069671154022217
Q9JIL4,496.74176025390625
A3KGB4,5.267175674438477
Q3U0V1,95.01907348632812
P13597,6.837506294250488
P23708,6.4227142333984375
Q6NSR8,23.104848861694336
Q03141,3.6380372047424316
Q9CWF2,257.5101013183594
Q61767,32.10701370239258
P51125,78.09369659423828
P35922,7.02945613861084
Q8BH24,11.478320121765137
Q9CQF4,11.244550704956055
Q9WTX8,3.8946452140808105
Q9CZJ2,3.03629732131958
Q80VQ1,2.711857318878174
Q8C3K6,2.1854665279388428
P83877,4.099048614501953
Q8BWW4,7.524823188781738
Q6ZQ58,9.633417129516602
Q8BXZ1,10.024224281311035
Q9WTZ1,13.602270126342773
Q9D0F9,325.0567932128906
E9PZQ0,2.0205554962158203
Q3THK3,2.3196094036102295
Q9D938,3.955447196960449
O89103,5.5368852615356445
Q8CFI0,2.1085116863250732
Q62009,4.522171497344971
P11438,24.51753807067871
Q9CY64,79.74944305419922
Q9JJL8,5.766513347625732
O08638,182.62750244140625
Q9CQI6,151.3518524169922
D3YUJ3,2.635840892791748
Q61702,20.163454055786133
P47738,2018.461669921875
Q61990,229.71115112304688
Q8BTI9,0.9653589725494385
Q91ZR1,3.876220703125
Q9D2G2,357.88494873046875
O55023,60.200531005859375
Q3TJZ6,29.01432991027832
O88848,5.638704776763916
Q8BJZ4,36.386295318603516
Q9QXN5,7.214465141296387
F6U5V1,4.409497261047363
Q8BH35,12.963590621948242
Q80U95,7.314597129821777
Q3UVL4,2.266828775405884
B2RT41,3.0747060775756836
O35379,5.157115936279297
P60843,606.9282836914062
Q91VE0,7.283442497253418
Q9CQM9,173.33641052246094
Q61543,40.19328689575195
O35737,97.90199279785156
O89110,5.340856552124023
Q8BG32,284.45306396484375
Q9ER67,4.561646461486816
Q9D291,4.082091331481934
Q8BWT1,2310.281005859375
P46460,58.656253814697266
A2RSY6,1.19590425491333
P24270,1602.9290771484375
Q8BGV0,4.983555316925049
Q8BTU1,1.729677438735962
Q9D5J6,14.320242881774902
Q99MZ7,509.255859375
P00493,100.32192993164062
Q62348,30.250600814819336
Q9D8W5,142.5417938232422
Q9JHR7,124.08394622802734
P25444,191.7345428466797
O88325,14.09533977508545
Q99MN9,398.4830627441406
Q80XH1,14.782546997070312
A2A432,11.673840522766113
Q61335,177.80018615722656
